sinclair basic	c	1
fortran	basic	1
gfa basic on amiga	turbopascal	1
perl	anything but perl :)	1
6502 asm	pascal	2
lisp	prolog	2
vbscript	java	1
6502 ass.	prime basic	1
fortran	c++	1
vba	php	1
matlab	perl	1
c++/sdl	php	1
perl/mod_perl(2007)	perl/plack(2010)	1
lpc*	smallc	1
various assemblers	pl/m	1
(scheme|c|c++)	perl 4	1
pl1	atari basic	1
javascript & perl	c#	1
68k assembler	c++	1
logo	cobol	1
lisp	hip activeware	1
c++	java	10
userland frontier (?!)	perl	1
php	jeffrey friedl book, camel book & perl cookbook	1
assembler (8086)	c++	1
(d, ruby, erlang, python, smalltalk, ocaml)	perl	1
javascript, sql (	php	1
php	javascript	1
logo	basic	1
apl	pascal	1
hip activeware	oneperl	1
perl(4)	perl	1
perl	tex	1
informix 4-gl	perl 5	1
esql/c	perl	1
c++	vb	1
bash / awk / sed )	perl	1
basic & pascal	html	1
x86asm	c++	1
beer	drain cleaner	1
oberon	java	1
powerbuilder	perl	1
atari basic	assembler	1
gw basic	pascal	1
basic	asm	2
.net	java	1
assembly	pascal	1
vba	informix 4-gl	1
perl	vb.net	1
ksh	sed/awk	1
basic	perl 5.004	1
c#	php	1
html,css	perl	1
python	c++	2
logo	pascal	2
moose, catalyst, dbic, jquery	psgi/plack	1
c++	perl (and away to	1
c/c++/vb4	perl	1
pascal✘	c✘	1
modula-2	c++	1
haskell	???	1
bourne shell	awk	1
html	vba	1
pascal	logo	1
perl (and away to	ruby)	1
[c, pascal, vax asm]	pascal	1
javascript	ruby	1
ataribasic	6502*	1
divergence into .net	lamp	1
z80 assembler	gfa-basic	1
ms basic	apl	1
java	haskell	1
perl(a lot)	java	1
mailboxes	internet	1
basic	c++	2
html/javascript (late 90s)	perl (	1
basic	vb	1
vba	java	1
6502 assembly	pascal	1
java	vb6	1
amigabasic	business basic	1
internet	linux	1
iie basic	iigs assembler	1
c/c++	icon	1
fortran 77	ms basic	1
bash	perl.	1
simon's basic	6502 asm	1
python	projectmanagement	1
c64 basic	pascal	1
c++	;-)	1
java	javascript*	1
pascal	c, kyoto cl, snobol 4	1
6502, 65c12 assembler	vb3, 4	1
c++	still php	1
visualbasic	c++	1
linux	perl	1
qbasic	apple iie basic	1
zx81 basic	z80 machine code	1
basic	perl	2
perl(1999 + rh linux) (thanks http://www.happyhacker.org/)	ruby(2005)	1
basic on zx spectrum	gfa basic on amiga	1
java	php	3
turbo pascal	vbscript	1
objc	php/fi	1
perl	perl!	1
lisp	perl	2
javascript + perl	c#	1
perl4	perl5	1
awk	perl	4
(very little) python	perl	1
basic✘	logo✘	1
tcl	c++	1
c, kyoto cl, snobol 4	bourne shell	1
perl	now	1
c	lisp	2
